"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1786131063879680423","Thu May 02 20:30:04 +0000 2024","0","Ini Hal Terpenting Menurut Shin Tae Yong yang Akan Jadi Penentu Hasil Laga Indonesia-Irak https://t.co/ObMhKtnK62","1786131063879680423","","","in","Jakarta, Indonesia","0","0","0","https://twitter.com/DreamersRadioID/status/1786131063879680423","337529500","DreamersRadioID"
"1786124550360686749","Thu May 02 20:04:12 +0000 2024","0","Percaya shintaeyong timnas lolos grub A","1786124550360686749","","","in","Purwokerto Barat, Indonesia","0","0","0","https://twitter.com/AjiAK30217107/status/1786124550360686749","1169902494492704769","AjiAK30217107"
"1786114697051484614","Thu May 02 19:40:15 +0000 2024","0","Terimakasih juga kita sampaikan sebesar-besarnya kepada Coach Shin Tae Yong. Berkat beliau kita bisa melihat permainan timnas berada di level tertinggi dan membentuk timnas yg memiliki chemistry baik di dalam dan di luar lapangan. https://t.co/unmqjUB8ZJ","1786118525477872117","https://pbs.twimg.com/media/GMmRU9waYAEfUVS.jpg","tomorrowbenice","in","","0","1","0","https://twitter.com/tomorrowbenice/status/1786118525477872117","1506177028009390080","tomorrowbenice"
"1786117306437042659","Thu May 02 19:38:35 +0000 2024","0","INI KALO SHIN TAE YONG KARTU MERAH LAGI YANG JADI COACH NATHAN ADA YG SAKIT P3KNYA TETEP NATHAN ITU TRIBUN KALO GAADA PENONTON DIA NGERANGKAP PEMAIN + PENONTON","1786118106685005930","","najmchingu","in","","0","0","0","https://twitter.com/najmchingu/status/1786118106685005930","1204763424678219776","najmchingu"
"1786097558445838447","Thu May 02 19:36:59 +0000 2024","0","@convomf YEPP!! walau kecewa bangga bgt sama timnas Indonesia dan shin tae yong udah berhasil melewati target pak erick tohir 8 besar dan STY menepati janjinya 4 besar","1786117704568762702","","convomf","in","Indonesia","0","0","0","https://twitter.com/gemsmags/status/1786117704568762702","1065361043063373824","gemsmags"
"1786097209215443229","Thu May 02 19:36:46 +0000 2024","0","@utdabout YEPP!! walau kecewa bangga bgt sama timnas Indonesia dan shin tae yong udah berhasil melewati target pak erick tohir 8 besar dan STY menepati janjinya 4 besar","1786117649602392374","","utdabout","in","Indonesia","0","0","0","https://twitter.com/gemsmags/status/1786117649602392374","1065361043063373824","gemsmags"
"1786117606065438771","Thu May 02 19:36:36 +0000 2024","0","YEPP!! walau kecewa bangga bgt sama timnas Indonesia dan shin tae yong udah berhasil melewati target pak erick tohir 8 besar dan STY menepati janjinya 4 besar","1786117606065438771","","","in","Indonesia","0","0","0","https://twitter.com/gemsmags/status/1786117606065438771","1065361043063373824","gemsmags"
"1786114697051484614","Thu May 02 19:25:02 +0000 2024","9","Appreciation tweet for Indonesian Tim. Terimakasih Timnas U-23 coach Shin Tae Yong dan staff yg bertugas selama Piala AFC U-23 ini. Heads up guys we have came so far selama turnamen ini. Yang awalnya hanya berharap 8 besar tapi kita bisa sampe semifinal #TimnasU23 #TimnasDay https://t.co/Jx6RFHrNW5","1786114697051484614","https://pbs.twimg.com/media/GMmN2MYaYAAQ7R9.jpg","","in","","0","1","4","https://twitter.com/tomorrowbenice/status/1786114697051484614","1506177028009390080","tomorrowbenice"
"1786109908645208199","Thu May 02 19:16:09 +0000 2024","0","@JeromePolin Tgal 9 mei lu afk ya jer. Lu aneh dukung irak tapi ketikan nya masih indo.","1786112458786234586","","JeromePolin","in","https://mycollection.shop/txtd","0","0","0","https://twitter.com/shintaeyong7777/status/1786112458786234586","1095029456350007296","shintaeyong7777"
"1786108648143610006","Thu May 02 19:01:00 +0000 2024","1","Jujur gua ga pernah nyangka Indo bisa masuk semifinal piala asia. ga pernah kebayang. Jd even kalah malam ini gpp asli gpp bgt gua liat indo bs ngasih perlawanan ke Iraq aja udah seneng bgt ternyata negara gua bs main bola sebaik ini. Makasih shin Tae yong &amp; timnas #CeritaTiyan https://t.co/raqlxoZN5N","1786108648143610006","https://pbs.twimg.com/ext_tw_video_thumb/1786108634365321216/pu/img/7DghqAVV6UCW5omr.jpg","","in","lenina","0","1","1","https://twitter.com/DPRTlYAN/status/1786108648143610006","1403235003543085062","DPRTlYAN"
